,sel tumor,sel inang,sel imun
0,0.062447414329692724,0.1767402547715596,-0.4409149406139256
1,0.11730596047488029,0.12002251285156773,-0.4330101386997802
2,0.17688996796149942,0.05862334239247064,-0.4223864616182556
3,0.24110456829704302,-0.007471818427836518,-0.4082230849490801
4,0.30962696812530266,-0.07816287690388608,-0.38948197104223625
5,0.38196721006709383,-0.15327920409057677,-0.36497274856169015
6,0.4569963185889038,-0.2323862989383856,-0.3329262575318136
7,0.5325499830391343,-0.3146078626491997,-0.29084736864154653
8,0.6058626702324118,-0.39886475087877576,-0.23576208077139685
9,0.6720344983793756,-0.48324176214906733,-0.16346021700410035
10,0.7250249997760599,-0.5654074630291186,-0.06914322493061759
11,0.7568936378429523,-0.6422275295390277,0.05253368745473409
12,0.7587142643301714,-0.7098568776280118,0.20614579855301202
13,0.7222842739577813,-0.7639564000841932,0.3934211234513524
14,0.6424883342850607,-0.799857142663537,0.6100429308593857
15,0.520986652035258,-0.8131615790559581,0.8417280295563508
16,0.3674224637230548,-0.8003704774957207,1.0642454602752036
17,0.19847968589060908,-0.7592362009944992,1.2458736306555496
18,0.03162935529495872,-0.6900518833760929,1.3616641322819925
19,-0.11836628709041416,-0.5946345526303697,1.3961410150256037
20,-0.24468525268708274,-0.4772174245849947,1.3534969057030874
21,-0.34593397274735854,-0.3431617311309751,1.2486601312899521
22,-0.42474373398299536,-0.19871191132077692,1.102207290597514
23,-0.4851750355071125,-0.05023203445070648,0.933899799248169
24,-0.5312958350913354,0.09642582167861342,0.7593715781637412
25,-0.5664770869772683,0.23641066424612456,0.5892305795728795
26,-0.5934426240472808,0.3660037460925536,0.4303373361198584
27,-0.6141563864675412,0.48293188105286616,0.2860363290627954
28,-0.6301342960300241,0.5859854818361413,0.1578089546285705
29,-0.6424115507821624,0.6751062560636137,0.04551199933840913
30,-0.6518582644594524,0.7507804148012486,-0.05161962353246665
31,-0.6589952503276163,0.8141630139002314,-0.13495396749440772
32,-0.6642618341913306,0.8664984036244069,-0.2059163094643769
33,-0.6680388871013301,0.9092707270472721,-0.26610488002106397
